"","ST","STATE","OCC_CODE","FIRST_TOT_EMP","FIRST_YEAR","LAST_TOT_EMP","LAST_YEAR","percent_change_emp","OCC_TITLE"
"138","AK","Alaska","19-1032",140,1999,70,2015,-50,"Foresters"
"139","AK","Alaska","19-1099",160,2008,170,2015,6.25,"Life scientists, all other"
"140","AK","Alaska","19-2021",60,2000,160,2015,166.67,"Atmospheric and space scientists"
"141","AK","Alaska","19-2031",70,1999,170,2015,142.86,"Chemists"
"142","AK","Alaska","19-2041",360,1999,740,2015,105.56,"Environmental scientists and specialists, including health"
"143","AK","Alaska","19-2042",220,1999,540,2015,145.45,"Geoscientists, except hydrologists and geographers"
"144","AK","Alaska","19-2043",80,1999,60,2015,-25,"Hydrologists"
"145","AK","Alaska","19-2099",60,2004,130,2015,116.67,"Physical scientists, all other"
"146","AK","Alaska","19-3011",120,2001,40,2015,-66.67,"Economists"
"147","AK","Alaska","19-3021",60,1999,130,2009,116.67,"Market research analysts"
"148","AK","Alaska","19-3022",140,1999,50,2014,-64.29,"Survey researchers"
"149","AK","Alaska","19-3031",170,1999,200,2015,17.65,"Clinical, counseling, and school psychologists"
"150","AK","Alaska","19-3051",410,1999,170,2015,-58.54,"Urban and regional planners"
"151","AK","Alaska","19-3091",50,1999,100,2015,100,"Anthropologists and archeologists"
"152","AK","Alaska","19-3099",140,2004,180,2015,28.57,"Social scientists and related workers, all other"
"153","AK","Alaska","19-4021",170,1999,430,2015,152.94,"Biological technicians"
"154","AK","Alaska","19-4031",80,1999,120,2015,50,"Chemical technicians"
"155","AK","Alaska","19-4041",90,1999,440,2015,388.89,"Geological and petroleum technicians"
"156","AK","Alaska","19-4061",40,2008,50,2015,25,"Social science research assistants"
"157","AK","Alaska","19-4091",130,1999,110,2015,-15.38,"Environmental science and protection technicians, including health"
"158","AK","Alaska","19-4092",30,2002,40,2008,33.33,"Forensic science technicians"
"159","AK","Alaska","19-4093",120,1999,500,2015,316.67,"Forest and conservation technicians"
"160","AK","Alaska","19-4099",440,2004,330,2015,-25,"Life, physical, and social science technicians, all other"
"161","AK","Alaska","21-0000",5610,1999,6940,2015,23.71,"Community and social services occupations"
"162","AK","Alaska","21-1011",430,1999,260,2015,-39.53,"Substance abuse and behavioral disorder counselors"
"163","AK","Alaska","21-1012",700,1999,660,2015,-5.71,"Educational, vocational, and school counselors"
"164","AK","Alaska","21-1013",60,2002,40,2015,-33.33,"Marriage and family therapists"
"165","AK","Alaska","21-1014",260,1999,540,2015,107.69,"Mental health counselors"
"166","AK","Alaska","21-1015",360,2000,300,2015,-16.67,"Rehabilitation counselors"
"167","AK","Alaska","21-1019",90,2004,130,2015,44.44,"Counselors, all other"
"168","AK","Alaska","21-1021",890,1999,1030,2015,15.73,"Child, family, and school social workers"
"169","AK","Alaska","21-1022",300,1999,300,2015,0,"Medical and public health social workers"
"170","AK","Alaska","21-1023",410,1999,470,2015,14.63,"Mental health and substance abuse social workers"
"171","AK","Alaska","21-1029",330,2004,200,2015,-39.39,"Social workers, all other"
"172","AK","Alaska","21-1091",70,1999,290,2015,314.29,"Health educators"
"173","AK","Alaska","21-1092",380,1999,300,2015,-21.05,"Probation officers and correctional treatment specialists"
"174","AK","Alaska","21-1093",590,1999,1470,2015,149.15,"Social and human service assistants"
"175","AK","Alaska","21-1094",550,2012,520,2015,-5.45,"Community health workers"
"176","AK","Alaska","21-1099",310,2004,230,2015,-25.81,"Community and social service specialists, all other"
"177","AK","Alaska","21-1798",470,2010,450,2011,-4.26,"Community and social service specialists, all other*"
"178","AK","Alaska","21-2011",30,1999,100,2015,233.33,"Clergy"
"179","AK","Alaska","21-2021",50,2000,50,2015,0,"Directors, religious activities and education"
"180","AK","Alaska","23-0000",2210,1999,2140,2015,-3.17,"Legal occupations"
"181","AK","Alaska","23-1011",820,1999,1050,2015,28.05,"Lawyers"
"182","AK","Alaska","23-1021",70,2000,80,2015,14.29,"Administrative law judges, adjudicators, and hearing officers"
"183","AK","Alaska","23-1023",100,1999,100,2015,0,"Judges, magistrate judges, and magistrates"
"184","AK","Alaska","23-2011",370,2000,600,2015,62.16,"Paralegals and legal assistants"
"185","AK","Alaska","23-2092",130,2000,140,2005,7.69,"Law clerks"
"186","AK","Alaska","23-2093",50,1999,90,2015,80,"Title examiners, abstractors, and searchers"
"187","AK","Alaska","23-2099",250,2004,210,2014,-16,"Legal support workers, all other"
"188","AK","Alaska","25-0000",20660,1999,21490,2015,4.02,"Education, training, and library occupations"
"189","AK","Alaska","25-1011",90,2000,330,2015,266.67,"Business teachers, postsecondary"
"190","AK","Alaska","25-1021",40,1999,130,2015,225,"Computer science teachers, postsecondary"
"191","AK","Alaska","25-1022",80,2000,100,2015,25,"Mathematical science teachers, postsecondary"
"192","AK","Alaska","25-1042",100,2006,70,2008,-30,"Biological science teachers, postsecondary"
"193","AK","Alaska","25-1051",150,2007,160,2008,6.67,"Atmospheric, earth, marine, and space sciences teachers, postsecondary"
"194","AK","Alaska","25-1062",30,2005,40,2013,33.33,"Area, ethnic, and cultural studies teachers, postsecondary"
"195","AK","Alaska","25-1065",40,2006,50,2008,25,"Political science teachers, postsecondary"
"196","AK","Alaska","25-1066",30,2000,50,2008,66.67,"Psychology teachers, postsecondary"
"197","AK","Alaska","25-1069",50,2011,40,2014,-20,"Social sciences teachers, postsecondary, all other"
"198","AK","Alaska","25-1071",40,2006,80,2015,100,"Health specialties teachers, postsecondary"
"199","AK","Alaska","25-1072",80,2007,40,2015,-50,"Nursing instructors and teachers, postsecondary"
"200","AK","Alaska","25-1081",130,2006,90,2015,-30.77,"Education teachers, postsecondary"
"201","AK","Alaska","25-1111",50,2003,40,2015,-20,"Criminal justice and law enforcement teachers, postsecondary"
"202","AK","Alaska","25-1121",80,2006,90,2014,12.5,"Art, drama, and music teachers, postsecondary"
"203","AK","Alaska","25-1122",50,2013,30,2015,-40,"Communications teachers, postsecondary"
"204","AK","Alaska","25-1123",50,2000,120,2015,140,"English language and literature teachers, postsecondary"
"205","AK","Alaska","25-1194",180,2000,230,2015,27.78,"Vocational education teachers, postsecondary"
"206","AK","Alaska","25-1199",250,2007,200,2015,-20,"Postsecondary teachers, all other"
"207","AK","Alaska","25-2011",670,1999,690,2015,2.99,"Preschool teachers, except special education"
"208","AK","Alaska","25-2012",640,1999,1020,2015,59.38,"Kindergarten teachers, except special education"
"209","AK","Alaska","25-2021",4420,1999,2950,2015,-33.26,"Elementary school teachers, except special education"
"210","AK","Alaska","25-2022",1460,1999,1370,2015,-6.16,"Middle school teachers, except special and vocational education"
"211","AK","Alaska","25-2023",110,1999,80,2015,-27.27,"Vocational education teachers, middle school"
"212","AK","Alaska","25-2031",2290,1999,2290,2015,0,"Secondary school teachers, except special and vocational education"
"213","AK","Alaska","25-2032",280,1999,220,2015,-21.43,"Vocational education teachers, secondary school"
"214","AK","Alaska","25-2041",820,1999,670,2011,-18.29,"Special education teachers, preschool, kindergarten, and elementary school"
"215","AK","Alaska","25-2042",400,1999,210,2009,-47.5,"Special education teachers, middle school"
"216","AK","Alaska","25-2043",360,1999,520,2009,44.44,"Special education teachers, secondary school"
"217","AK","Alaska","25-2051",210,2012,70,2015,-66.67,"Special education teachers, preschool"
"218","AK","Alaska","25-2052",570,2012,790,2015,38.6,"Special education teachers, kindergarten and elementary school"
"219","AK","Alaska","25-2053",520,2010,240,2015,-53.85,"Special education teachers, middle school"
"220","AK","Alaska","25-2054",440,2010,280,2015,-36.36,"Special education teachers, secondary school"
"221","AK","Alaska","25-2059",80,2012,40,2015,-50,"Special education teachers, all other"
"222","AK","Alaska","25-3011",190,1999,70,2015,-63.16,"Adult literacy, remedial education, and ged teachers and instructors"
"223","AK","Alaska","25-3021",310,1999,280,2015,-9.68,"Self-enrichment education teachers"
"224","AK","Alaska","25-3097",730,2014,740,2015,1.37,"Teachers and instructors, all other, except substitute teachers"
"225","AK","Alaska","25-3098",1440,2012,1860,2015,29.17,"Substitute teachers"
"226","AK","Alaska","25-3099",1570,2004,670,2013,-57.32,"Teachers and instructors, all other"
"227","AK","Alaska","25-3999",1380,2010,1410,2011,2.17,"Teachers and instructors, all other*"
"228","AK","Alaska","25-4010",70,1999,100,2003,42.86,"Archivists, curators, and museum technicians"
"229","AK","Alaska","25-4011",30,2007,40,2011,33.33,"Archivists"
"230","AK","Alaska","25-4012",30,2005,60,2015,100,"Curators"
"231","AK","Alaska","25-4013",50,2004,40,2015,-20,"Museum technicians and conservators"
"232","AK","Alaska","25-4021",470,1999,380,2015,-19.15,"Librarians"
"233","AK","Alaska","25-4031",290,1999,240,2015,-17.24,"Library technicians"
"234","AK","Alaska","25-9031",320,1999,520,2015,62.5,"Instructional coordinators"
"235","AK","Alaska","25-9041",4130,1999,4260,2015,3.15,"Teacher assistants"
"236","AK","Alaska","25-9099",1390,2012,610,2015,-56.12,"Education, training, and library workers, all other"
"237","AK","Alaska","27-0000",2650,1999,3640,2015,37.36,"Arts, design, entertainment, sports, and media occupations"
"238","AK","Alaska","27-1011",40,2002,30,2010,-25,"Art directors"
"239","AK","Alaska","27-1012",40,2008,40,2014,0,"Craft artists"
"240","AK","Alaska","27-1019",170,2006,60,2015,-64.71,"Artists and related workers, all other"
"241","AK","Alaska","27-1023",140,2002,60,2015,-57.14,"Floral designers"
"242","AK","Alaska","27-1024",90,1999,270,2015,200,"Graphic designers"
"243","AK","Alaska","27-1025",40,2002,40,2015,0,"Interior designers"
"244","AK","Alaska","27-1026",80,1999,180,2015,125,"Merchandise displayers and window trimmers"
"245","AK","Alaska","27-2012",80,1999,150,2015,87.5,"Producers and directors"
"246","AK","Alaska","27-2022",90,2000,500,2015,455.56,"Coaches and scouts"
"247","AK","Alaska","27-2023",80,2003,230,2015,187.5,"Umpires, referees, and other sports officials"
"248","AK","Alaska","27-2031",100,2006,120,2014,20,"Dancers"
"249","AK","Alaska","27-2042",40,2002,30,2005,-25,"Musicians and singers"
"250","AK","Alaska","27-3010",160,2001,170,2003,6.25,"Announcers"
"251","AK","Alaska","27-3011",250,2004,90,2015,-64,"Radio and television announcers"
"252","AK","Alaska","27-3012",60,2006,50,2014,-16.67,"Public address system and other announcers"
"253","AK","Alaska","27-3020",290,1999,230,2003,-20.69,"News analysts, reporters and correspondents"
"254","AK","Alaska","27-3021",30,2011,50,2014,66.67,"Broadcast news analysts"
"255","AK","Alaska","27-3022",200,2004,140,2015,-30,"Reporters and correspondents"
"256","AK","Alaska","27-3031",230,1999,550,2015,139.13,"Public relations specialists"
"257","AK","Alaska","27-3041",200,1999,110,2015,-45,"Editors"
"258","AK","Alaska","27-3042",30,1999,90,2015,200,"Technical writers"
"259","AK","Alaska","27-3043",180,1999,120,2015,-33.33,"Writers and authors"
"260","AK","Alaska","27-3091",30,2001,70,2015,133.33,"Interpreters and translators"
"261","AK","Alaska","27-3099",190,2004,130,2015,-31.58,"Media and communication workers, all other"
"262","AK","Alaska","27-4011",60,1999,140,2015,133.33,"Audio and video equipment technicians"
"263","AK","Alaska","27-4012",70,2000,120,2015,71.43,"Broadcast technicians"
"264","AK","Alaska","27-4013",30,2000,30,2001,0,"Radio operators"
"265","AK","Alaska","27-4021",120,2000,90,2015,-25,"Photographers"
"266","AK","Alaska","27-4031",30,2000,30,2014,0,"Camera operators, television, video, and motion picture"
"267","AK","Alaska","27-4032",30,2005,30,2006,0,"Film and video editors"
"268","AK","Alaska","27-4099",60,2004,70,2015,16.67,"Media and communication equipment workers, all other"
"269","AK","Alaska","29-0000",9660,1999,16760,2015,73.5,"Healthcare practitioners and technical occupations"
"270","AK","Alaska","29-1011",60,2003,70,2015,16.67,"Chiropractors"
"271","AK","Alaska","29-1021",120,2004,200,2015,66.67,"Dentists, general"
"272","AK","Alaska","29-1031",80,1999,180,2015,125,"Dietitians and nutritionists"
"273","AK","Alaska","29-1041",40,2001,70,2015,75,"Optometrists"
"274","AK","Alaska","29-1051",250,1999,490,2015,96,"Pharmacists"
"275","AK","Alaska","29-1062",230,1999,460,2015,100,"Family and general practitioners"
"276","AK","Alaska","29-1063",90,2002,100,2015,11.11,"Internists, general"
"277","AK","Alaska","29-1064",70,2004,80,2015,14.29,"Obstetricians and gynecologists"
"278","AK","Alaska","29-1065",70,2004,30,2015,-57.14,"Pediatricians, general"
"279","AK","Alaska","29-1066",30,2000,40,2015,33.33,"Psychiatrists"
"280","AK","Alaska","29-1067",70,2006,40,2015,-42.86,"Surgeons"
"281","AK","Alaska","29-1069",190,2004,280,2015,47.37,"Physicians and surgeons, all other"
"282","AK","Alaska","29-1071",40,1999,380,2015,850,"Physician assistants"
"283","AK","Alaska","29-1111",4190,1999,5460,2011,30.31,"Registered nurses"
"284","AK","Alaska","29-1122",160,1999,220,2015,37.5,"Occupational therapists"
"285","AK","Alaska","29-1123",190,1999,510,2015,168.42,"Physical therapists"
"286","AK","Alaska","29-1125",30,2000,30,2012,0,"Recreational therapists"
"287","AK","Alaska","29-1126",190,1999,170,2015,-10.53,"Respiratory therapists"
"288","AK","Alaska","29-1127",200,1999,300,2015,50,"Speech-language pathologists"
"289","AK","Alaska","29-1128",60,2010,40,2011,-33.33,"Therapists, all other*"
"290","AK","Alaska","29-1129",30,2014,40,2015,33.33,"Therapists, all other"
"291","AK","Alaska","29-1131",100,1999,170,2015,70,"Veterinarians"
"292","AK","Alaska","29-1141",5350,2012,5910,2015,10.47,"Registered nurses"
"293","AK","Alaska","29-1151",40,2013,40,2015,0,"Nurse anesthetists"
"294","AK","Alaska","29-1161",50,2013,50,2015,0,"Nurse midwives"
"295","AK","Alaska","29-1171",280,2012,390,2015,39.29,"Nurse practitioners"
"296","AK","Alaska","29-1199",100,2004,170,2015,70,"Health diagnosing and treating practitioners, all other"
"297","AK","Alaska","29-2011",220,1999,270,2015,22.73,"Medical and clinical laboratory technologists"
"298","AK","Alaska","29-2012",130,2000,400,2015,207.69,"Medical and clinical laboratory technicians"
"299","AK","Alaska","29-2021",470,2000,480,2015,2.13,"Dental hygienists"
"300","AK","Alaska","29-2031",50,1999,50,2014,0,"Cardiovascular technologists and technicians"
"301","AK","Alaska","29-2032",60,2000,90,2015,50,"Diagnostic medical sonographers"
"302","AK","Alaska","29-2033",30,2010,50,2015,66.67,"Nuclear medicine technologists"
"303","AK","Alaska","29-2034",260,1999,460,2015,76.92,"Radiologic technologists and technicians"
"304","AK","Alaska","29-2035",50,2012,60,2015,20,"Magnetic resonance imaging technologists"
"305","AK","Alaska","29-2037",410,2010,450,2011,9.76,"Radiologic technologists and technicians*"
"306","AK","Alaska","29-2041",290,2001,390,2015,34.48,"Emergency medical technicians and paramedics"
"307","AK","Alaska","29-2051",70,2010,60,2013,-14.29,"Dietetic technicians"
"308","AK","Alaska","29-2052",240,1999,730,2015,204.17,"Pharmacy technicians"
"309","AK","Alaska","29-2053",70,2000,230,2015,228.57,"Psychiatric technicians"
"310","AK","Alaska","29-2055",60,1999,180,2015,200,"Surgical technologists"
"311","AK","Alaska","29-2056",120,1999,180,2015,50,"Veterinary technologists and technicians"
"312","AK","Alaska","29-2061",380,1999,520,2015,36.84,"Licensed practical and licensed vocational nurses"
"313","AK","Alaska","29-2071",360,2000,710,2015,97.22,"Medical records and health information technicians"
"314","AK","Alaska","29-2081",30,2000,120,2015,300,"Opticians, dispensing"
"315","AK","Alaska","29-2099",290,2005,140,2015,-51.72,"Health technologists and technicians, all other"
"316","AK","Alaska","29-2799",200,2010,240,2011,20,"Health technologists and technicians, all other*"
"317","AK","Alaska","29-9010",160,1999,210,2003,31.25,"Occupational health and safety specialists and technicians"
"318","AK","Alaska","29-9011",170,2004,580,2015,241.18,"Occupational health and safety specialists"
"319","AK","Alaska","29-9012",50,2004,140,2015,180,"Occupational health and safety technicians"
"320","AK","Alaska","29-9099",250,2004,170,2015,-32,"Healthcare practitioners and technical workers, all other"
"321","AK","Alaska","29-9799",240,2010,200,2011,-16.67,"Healthcare practitioners and technical workers, all other*"
"322","AK","Alaska","31-0000",4000,1999,8540,2015,113.5,"Healthcare support occupations"
"323","AK","Alaska","31-1011",440,1999,1960,2015,345.45,"Home health aides"
"324","AK","Alaska","31-1012",960,1999,2090,2011,117.71,"Nursing aides, orderlies, and attendants"
